store_name,address,city,state,postal_code,store_number,phone_number,lat,long,amenities
Harris Teeter Friendly 306,"3330 West Friendly Avenue, Greensboro",Greensboro,NC,27410,68714-303693,+1 336-297-1361,36.08815,-79.83803,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Battleground Ave at Edney Ridg,"2969 Battleground Avenue, Greensboro",Greensboro,NC,27408,8222-252187,+1 336-282-0445,36.11473,-79.83562,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Pisgah Church Rd & N Elm St,"505 Pisgah Church Road, Greensboro",Greensboro,NC,27455,9798-96617,+1 336-545-9454,36.13084,-79.79897,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Greensboro 91,"401 Pisgah Church Rd, Greensboro",Greensboro,NC,27455,29068-97497,,36.13162,-79.79613,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
"South Elm & I-85, Exit 124","3711 Elmsley Street, Greensboro",Greensboro,NC,27406,11057-103156,+1 336-273-4531,36.00223,-79.7931,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
W Friendly Ave & Dolley Madiso,"5607 W Friendly Ave, Greensboro",Greensboro,NC,27410,8374-13014,+1 336-292-3020,36.08883,-79.88575,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Highwoods Cir & New Garden Rd,"1562 Highwoods Blvd, Greensboro",Greensboro,NC,27410,10605-99128,+1 336-834-4620,36.11188,-79.87931,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Greensboro WEST 2108,"1628 Highwoods Blvd, Greensboro",Greensboro,NC,27410,76689-97498,+1 336-455-9900,36.11305,-79.87867,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Harris Teeter Greensboro 33,"701 Frances King St, Greensboro",Greensboro,NC,27410,72867-93650,+1 336-856-8140,36.08879,-79.89091,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
"Wendover & I-40, Exit 214 A","4404 W. Wendover Avenue, Greensboro",Greensboro,NC,27407,50808-273785,+1 336-315-1804,36.05631,-79.89729,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Greensboro SOUTH 1078,"1212 Bridford Pkwy, Greensboro",Greensboro,NC,27407,17470-181564,+1 336-856-1066,36.05432,-79.90254,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
Harris Teeter Greensboro 280,"4010 Battleground Ave, Greensboro",Greensboro,NC,27410,29074-251947,+1 336-288-2203,36.14763,-79.86947,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Battlegrnd Ave & Horse Pen Crk,"4016 Battleground Ave, Greensboro",Greensboro,NC,27410,14437-119070,+1 336-282-3177,36.14839,-79.86918,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Greensboro 64,"5710 W Gate City Blvd, Greensboro",Greensboro,NC,27407,27919-230643,+1 336-854-4050,36.01658,-79.897,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Gate City Blvd and Guilford Co,"6019 W. Gate City Blvd, Greensboro",Greensboro,NC,27407,68124-301764,+1 336-860-0996,36.00269,-79.90549,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
GSO North Concourse Gate 26,"1000 Ted Johnson Pkwy, Greensboro",Greensboro,NC,27409,48628-263366,+1 336-933-7130,36.10502,-79.93437,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
GSO South Concourse Gate 41,"1000 Ted Johnson Pkwy, Greensboro",Greensboro,NC,27409,48506-263365,+1 336-933-7130,36.10418,-79.93685,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Shoppes at Palladium & Hwy 68,"3875 John Gordon Lane, High Point",High Point,NC,27265,8486-35081,+1 336-841-1072,36.03574,-79.96257,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter High Point 173,"1589 Skeet Club Rd, High Point",High Point,NC,27265,61831-295444,+1 336-841-1144,36.03276,-79.96851,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
I40 & Rock Creek Dairy Rd,"6405 Burlington Road, Whitsett",Whitsett,NC,27377,67829-299886,+1 336-499-1628,36.06333,-79.6067,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Furnitureland South Jamestown,"5635 Riverdale Dr, Jamestown",Jamestown,NC,27282,78069-115624,+1 336-822-3702,35.9695,-79.92739,"Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
NC68 and Oak Ridge Road,"1684 NC Hwy 68 North, Oak Ridge",Oak Ridge,NC,27310,68127-300863,+1 336-499-2165,36.17209,-79.98768,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target High Point 1079,"1050 Mall Loop, High Point",High Point,NC,27262,50475-274864,+1 336-884-5222,35.99384,-80.00818,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
High Point University Cottrell,"823 5th Street, High Point",High Point,NC,27262,25847-236825,+1 336-847-6169,35.97741,-80.00005,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food"
High Point Univ. Slane Buildin,"833 Montlieu Avenue, High Point",High Point,NC,27262,75413-102926,+1 336-888-6309,35.96883,-79.99417,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Wireless Hot-Spot"
Harris Teeter High Point 341,"265 Eastchester Dr, High Point",High Point,NC,27262,79361-101270,+1 336-869-6317,35.9844,-80.01928,"Blonde Espresso,In Store,Mobile Order and Pay,Redeem Rewards"
N Main St & Parris Ave,"2209 N Main Street, High Point",High Point,NC,27262,8961-286512,+1 336-688-1455,35.98451,-80.02446,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
I-74 & Old Plank Rd,"6534 Old Plank Rd, High Point",High Point,NC,27265,65594-299882,+1 336-802-1003,36.00542,-80.03664,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"I-85 & S. Main, Archdale","10101 S. Main, Archdale",Archdale,NC,27263,67061-300335,+1 336-499-1506,35.90279,-79.95114,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"Univ Common Dr & Univ Dr, Ext","1447 University Drive, Burlington",Burlington,NC,27215,9839-98359,+1 336-584-6795,36.06816,-79.52042,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Burlington 2037,"1475 University Dr, Burlington",Burlington,NC,27215,76466-96570,+1 336-524-9354,36.06637,-79.5199,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
"Huffman Mill Rd, Ext 141","451 Huffman Mill Road, Burlington",Burlington,NC,27215,9763-98360,+1 336-538-6997,36.07619,-79.48878,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Kernersville 250,"971 S Main St, Kernersville",Kernersville,NC,27284,70320-99584,+1 336-992-9735,36.10741,-80.09494,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Burlington 345,"2727 S Church St, Burlington",Burlington,NC,27215,79343-103391,+1 336-585-1444,36.08216,-79.48425,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
S Main St and Masten Dr,"1020 S. Main Street, Kernersville",Kernersville,NC,27284,11058-243148,+1 336-996-2819,36.10828,-80.09789,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Kernersville 2134,"1024 S Main St, Kernersville",Kernersville,NC,27284,76588-101401,+1 336-992-1680,36.1097,-80.09933,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
"I-40 & Union Cross, Kernersvil","1476 Jag Branch Blvd, Kernersville",Kernersville,NC,27284,65593-299621,+1 336-936-4706,36.07969,-80.10626,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
I-40 and Maple Ave,"2555 Maple Avenue, Burlington",Burlington,NC,27215,67485-298992,+1 743-208-7844,36.0625,-79.43248,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"5200 Freeway Dr, Reidsville","5200 US-29 Business, Reidsville",Reidsville,NC,27320,71239-303501,+1 336-791-4624,36.38052,-79.66302,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
N. Carolina Central Univ. Libr,"1801 Fayetteville St., Durham",Durham,NC,27701,60484-147687,+1 919-530-5353,35.97439,-78.89844,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
Pickup - 9th Street Duke,"706 Ninth Street, Durham",Durham,NC,27705,62602-296289,+1 984-842-3029,36.00806,-78.92204,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Harris Teeter Durham 394,"2107 Hillborough Rd, Durham",Durham,NC,27705,19542-170046,+1 919-286-1500,36.01003,-78.92431,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Duke Central Tower,"2301 Erwin Rd., Durham",Durham,NC,27710,65770-283304,+1 919-681-0817,36.00636,-78.93813,"After Hours Wi-Fi,Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Open 24 hours per day,Oven-warmed Food,Redeem Rewards"
Harris Teeter Durham 492,"3457 Hillsborough Rd., Durham",Durham,NC,27705,59272-292602,+1 919-383-2249,36.01992,-78.9478,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Redeem Rewards"
N Roxboro St & Fairfield St,"4201 N Roxboro Street, Durham",Durham,NC,27704,23693-227588,+1 919-451-7305,36.04784,-78.90365,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Durham-Chapel Hill & Tower Blv,"4010 Durham Chapel Hill Boulevard, Durham",Durham,NC,27707,25714-242145,+1 919-886-0837,35.96992,-78.95991,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Durham 1872,"4037 Chapel Hill Blvd, Durham",Durham,NC,27707,76134-92543,+1 919-765-0008,35.96658,-78.95849,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Durham 172,"1817 Martin Luther King Pkwy, Durham",Durham,NC,27707,27920-248749,+1 919-489-9887,35.96077,-78.95821,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Guess Rd and Horton Rd,"3801 Guess Road, Durham",Durham,NC,27705,13656-105132,+1 919-471-2957,36.05782,-78.92941,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Durham-Chapel Hill & Moriah Ex,"5319 New Hope Commons Dr, Durham",Durham,NC,27707,9715-97673,+1 919-493-2471,35.95433,-78.99395,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Durham 491,"202 NC Hwy 54, Durham",Durham,NC,27713,59271-292599,+1 919-361-9893,35.91094,-78.93575,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Durham 224,"1125 West North Carolina 54 Hwy, Durham",Durham,NC,27707,73929-108099,+1 919-403-0794,35.91829,-78.95833,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Renaissance Center Durham Ext,"6813 Fayetteville Road, Durham",Durham,NC,27713,9361-77100,+1 919-544-4132,35.90463,-78.93723,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Hwy 55 & Allendown Dr,"4834 NC Hwy 55, Durham",Durham,NC,27713,13203-105259,+1 919-293-0232,35.89931,-78.89714,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Southpoint Mall,"6910 Fayetteville Rd, Durham",Durham,NC,27713,50265-267189,+1 984-260-8151,35.9046,-78.94241,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Durham SE 2069,"8210 Renaissance Pkwy, Durham",Durham,NC,27713,76480-97492,+1 919-425-0001,35.90415,-78.95305,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
NC54 & Farrington Rd,"6120 Farrington Road, Chapel Hill",Chapel Hill,NC,27517,66363-299584,+1 984-484-7995,35.91033,-78.98399,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Raleigh 304,"4221 Corners Pkwy, Raleigh",Raleigh,NC,27617,52424-279825,+1 919-596-5399,35.91895,-78.78855,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
E Franklin St & Eastgate Cross,"1800 E Franklin Street, Chapel Hill",Chapel Hill,NC,27514,8715-79143,+1 919-929-2613,35.93663,-79.02558,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Chapel Hill 117,"2110  S Estes Dr, Chapel Hill",Chapel Hill,NC,27514,72920-93638,+1 919-933-5700,35.92938,-79.02638,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Page Rd & Slater Rd,"1119 Slater Rd, Durham",Durham,NC,27703,10564-100526,+1 919-941-0482,35.87933,-78.84729,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Brier Creek Pkwy & Glenwood Av,"7854 Alexander Promenade Pl., Raleigh",Raleigh,NC,27617,8875-94175,+1 919-957-9587,35.91271,-78.78077,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Chapel Hill 120,"116 W. Barbee Chapel Rd, Chapel Hill",Chapel Hill,NC,27517,19139-197344,+1 919-932-5020,35.90645,-79.01079,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Target Raleigh NW 1794,"8651 Brier Creek Pkwy, Raleigh",Raleigh,NC,27617,55846-288590,+1 919-765-0005,35.90248,-78.78578,"In Store,Oven-warmed Food,Redeem Rewards"
Brier Creek Westin,"3931 MACAW STREET, RALEIGH",RALEIGH,NC,27617,69298-302751,+1 919-864-9091,35.90513,-78.78224,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
"Hwy 86 & Eubanks Rd, Exit 266","100 Village Center Dirive, Chapel Hill",Chapel Hill,NC,27516,56882-289931,+1 336-534-1524,35.96993,-79.06349,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Hwy 54 & Carrington Mill,"1017 Carrington Mill Boulevard, Morrisville",Morrisville,NC,27560,59587-293017,+1 984-842-3017,35.85722,-78.84226,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
RDU Terminal 2 Concourse D,"2400 John Brantley Blvd, Raleigh",Raleigh,NC,27560,50154-272526,+1 919-840-0506,35.87604,-78.7951,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
OKelly Chapel Rd & Parkside Ma,"1015 Parkside Main St, Cary",Cary,NC,27519,23309-227624,+1 919-466-8062,35.84631,-78.88736,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
RDU Terminal 1,"2400 John Brantley Blvd, Raleigh",Raleigh,NC,27560,21592-212352,+1 984-209-8204,35.87464,-78.78949,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Target Cary 2784,"7129 O'Kelly Chapel Road, Cary",Cary,NC,27519,21786-214784,+1 919-674-2214,35.84403,-78.8852,"In Store,Oven-warmed Food,Redeem Rewards"
Harris Teeter Cary 236,"7145 O'Kelly Chapel Rd, Cary",Cary,NC,27519,23353-229005,+1 919-465-9432,35.84373,-78.88775,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Franklin & Columbia,"100 E. Franklin Street, Chapel Hill",Chapel Hill,NC,27514,8245-308937,+1 919-932-3824,35.91302,-79.05547,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
N.C. Cancer Hospital Lobby,"101 Manning Dr, Chapel Hill",Chapel Hill,NC,27514,3048-132884,+1 984-215-3676,35.90396,-79.04939,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Target UNC Franklin St 3241,"143 W Franklin St, Chapel Hill",Chapel Hill,NC,27516,50539-265964,+1 919-590-4925,35.9126,-79.05714,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Harris Teeter Morrisville 104,"4093 Davis Drive, Morrisville",Morrisville,NC,27560,24358-235924,+1 919-380-0354,35.836,-78.85598,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Cary 298,"10140 Green Level Church Road, Cary",Cary,NC,27519,79699-100511,+1 919-460-3126,35.8207,-78.90107,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Morrisville Carpenter Rd & Dav,"3608-400 Davis Drive, Morrisville",Morrisville,NC,27560,9657-97677,+1 919-460-1170,35.82163,-78.84756,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Morrisville 2721,"3001 Market Center Dr, Morrisville",Morrisville,NC,27560,16134-157964,+1 919-379-2180,35.80723,-78.81585,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
Hwy 55 & High House Rd,"2840 NC Highway 55, Cary",Cary,NC,27519,9364-95870,+1 919-387-3482,35.78966,-78.87007,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Cary 138,"98 Cornerstone Dr, Cary",Cary,NC,27519,79397-98082,+1 919-467-1259,35.79027,-78.85201,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Wake Forest Baptist MC North T,"1 Medical Center Blvd, Winston-Salem",Winston-Salem,NC,27103,27558-246784,+1 336-713-1847,36.08961,-80.26856,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Publix Winston-Salem 1475,"34 MILLER ST, Winston-Salem",Winston-Salem,NC,27104,49408-266019,+1 336-724-3707,36.09491,-80.27566,"Blonde Espresso,In Store,Oven-warmed Food"
Harris Teeter Winston-Salem 21,"2281 Cloverdale Ave, Winston-Salem",Winston-Salem,NC,27103,29069-251948,+1 336-777-1075,36.09018,-80.2745,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Cloverdale Ave & Miller St,"2283 Cloverdale Avenue, Winston-Salem",Winston-Salem,NC,27103,8517-286640,+1 336-725-6709,36.09042,-80.27502,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Stratford Rd & Ricks Dr,"263 Harvey St, Winston-Salem",Winston-Salem,NC,27103,25248-239811,+1 336-414-0268,36.0841,-80.29481,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Peters Creek Parkway & Brewer,"1611 Brewer Rd, Winston-Salem",Winston-Salem,NC,27127,68121-300615,+1 336-968-1739,36.05547,-80.25896,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Mt Tabor Place & Robinhood Rd,"3331 Robinhood Road, Winston-Salem",Winston-Salem,NC,27106,8448-35099,+1 336-768-1221,36.11634,-80.31262,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Frontis Plaza Blvd-Hanes Mall,"2015 Frontis Plaza Boulevard, Winston-Salem",Winston-Salem,NC,27103,8540-63340,+1 336-765-2716,36.062,-80.30405,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Reynolda Rd & Radford St,"2898 Reynolda Road, Winston-Salem",Winston-Salem,NC,27106,11926-105253,+1 336-761-3783,36.14427,-80.30047,"Drive-Thru,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Winston-Salem 34,"2835 Reynolda Rd, Winston-Salem",Winston-Salem,NC,27106,26169-237578,+1 336-761-0734,36.14562,-80.29882,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Target Winston-Salem SOUTH 108,"1040 Hanes Mall Blvd., Winston-Salem",Winston-Salem,NC,27103,54668-282673,+1 336-774-9687,36.06765,-80.32026,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
Target Winston-Salem NORTH 107,"5420 University Pkwy, Winston-Salem",Winston-Salem,NC,27105,16923-166304,+1 336-744-7880,36.16816,-80.27699,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
"Jonestown Rd & Hanes Mall, Ext","605 Jonestown Road, Winston-Salem",Winston-Salem,NC,27103,11269-103675,+1 336-765-7540,36.07082,-80.33913,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"Univ Pkwy & Hanes Mill Rd, Ext","5980 University Parkway, Winston-Salem",Winston-Salem,NC,27105,11640-100682,+1 336-377-2046,36.18792,-80.27681,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"Lewisville Clemmons Rd, Ext 18","2785 Lewisville-Clemmons Rd, Clemmons",Clemmons,NC,27012,11922-105252,+1 336-766-7866,36.02261,-80.38147,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Clemmons 228,"4150 Clemmons Rd., Clemmons",Clemmons,NC,27012,54165-284484,+1 336-778-1445,36.01866,-80.40704,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
I-85 and Cotton Grove Rd,"77 Plaza Parkway, Lexington",Lexington,NC,27292,59762-292407,+1 336-250-8552,35.78299,-80.25664,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"Hwy 601 & Hwy, 421 Yadkinville","640 S State St., Yadkinville",Yadkinville,NC,27055,80256-309392,+1 336-968-8223,36.12317,-80.66039,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Gastonia 2565,"425 Cox Rd, Gastonia",Gastonia,NC,28054,16138-100072,+1 704-691-6001,35.26255,-81.13354,"In Store,Oven-warmed Food,Redeem Rewards"
Cox Rd & I-85,"420 Cox Road, Gastonia",Gastonia,NC,28054,18833-188544,+1 704-865-5491,35.26283,-81.1318,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Gastonia 281,"3350 Robinwood Dr, Gastonia",Gastonia,NC,28054,47673-259024,+1 704-864-0139,35.21731,-81.15881,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Ingles Dallas 146,"715 W Trade St., Dallas",Dallas,NC,28034,19900-201165,+1 704-922-2094,35.31475,-81.18544,"In Store,Oven-warmed Food"
I-85 and Highway 161,"717 York Road, Kings Mountain",Kings Mountain,NC,28086,61408-294745,+1 980-291-2910,35.22864,-81.33261,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Belmont 386,"905 South Point Rd., Belmont",Belmont,NC,28012,54167-281984,+1 704-825-6079,35.22369,-81.03749,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
I-85 & Park Street,"630 Park Street, Belmont",Belmont,NC,28012,52820-283087,+1 704-825-0142,35.25285,-81.0272,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Charlotte Hwy and Village Harb,"1201 Village Harbor Drive, Lake Wylie",Lake Wylie,SC,29710,55614-288499,+1 704-591-5361,35.11594,-81.07464,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
